"Day1" "Day2" "Day3" "Day4" "Day5" "Day6" "Day7" "Day8" "Day9" "Day10" "Day11" "Day12" "Day13" "Day14" "Day15" "Day16" "Day17" "Day18" "Day19" "Day20" "Day21" "Day22" "Day23" "Day24" "Day25" "Day26" "Day27" "Day28" "Day29" "Day30" "Day31" "Day32" "Day33" "Day34" "Day35" "Day36" "Day37" "Day38" "Day39" "Day40" "Day41" "Day42" "Day43" "Day44" "Day45" "Day46" "Day47" "Day48" "Day49" "Day50" "Day51" "Day52" "Day53" "Day54" "Day55" "Day56" "Day57" "Day58" "Day59" "Day60" "Day61" "Day62" "Day63" "Day64" "Day65" "Day66" "Day67" "Day68" "Day69" "Day70" "Day71" "Day72" "Day73" "Day74" "Day75" "Day76" "Day77" "Day78" "Day79" "Day80" "Day81" "Day82" "Day83" "Day84" "Day85" "Day86" "Day87" "Day88" "Day89" "Day90" "Day91" "Day92" "Day93" "Day94" "Day95" "Day96" "Day97" "Day98" "Day99" "Day100"
"Fish1" 2 3 2 2 2 2 2 2 3 2 2 2 2 2 2 2 3 3 1 1 3 1 1 3 1 3 1 3 3 1 3 3 1 1 2 3 3 1 2 1 2 2 2 3 2 2 2 3 3 1 1 1 1 3 1 3 1 2 3 1 1 1 1 1 1 1 3 2 3 3 3 2 3 3 3 3 1 1 2 3 1 3 3 2 3 1 1 1 3 2 2 1 1 2 1 1 2 3 1 3
"Fish2" 3 1 1 3 3 3 3 3 3 3 3 1 1 1 3 3 1 1 2 1 3 2 2 2 1 3 3 3 3 1 1 1 1 1 3 1 1 1 3 1 1 2 1 1 1 1 3 3 1 1 1 1 3 1 2 1 1 1 2 2 3 2 1 1 3 1 3 3 3 1 1 1 1 3 1 1 1 1 3 1 2 3 2 2 2 2 2 3 2 2 3 1 1 2 3 1 1 3 2 3
"Fish3" 1 3 2 3 2 1 3 1 1 1 1 1 1 3 3 1 3 3 1 2 2 1 1 1 3 3 3 3 1 3 1 1 1 3 1 3 1 1 3 3 1 3 1 1 1 1 3 3 1 3 1 1 3 1 1 3 1 3 1 3 3 3 3 1 3 1 1 3 3 1 3 3 1 1 1 1 3 1 1 1 3 1 1 1 1 1 3 2 2 1 3 3 3 3 3 3 1 2 1 3
"Fish4" 1 2 3 2 2 2 1 3 3 2 3 1 1 3 1 3 3 1 2 1 1 1 3 1 2 2 3 3 3 1 3 2 2 2 1 3 2 1 3 1 1 2 3 3 1 1 3 1 1 1 1 1 1 3 1 1 1 1 1 2 2 3 1 1 1 2 1 1 3 1 3 2 1 2 2 3 1 3 3 2 3 3 3 3 3 3 3 2 2 3 2 2 2 2 2 3 3 3 1 2
"Fish5" 2 3 2 2 1 3 3 2 2 1 1 1 2 3 3 1 3 1 3 1 1 1 3 3 1 3 1 1 1 1 3 1 1 3 3 3 1 1 1 3 3 1 1 1 1 1 3 1 1 3 1 3 1 1 1 3 1 3 1 1 1 1 1 3 1 1 3 1 1 3 2 2 3 3 3 3 2 3 2 1 1 3 1 2 3 3 2 1 1 2 3 1 2 1 2 1 3 2 2 1
"Fish6" 1 2 2 2 3 2 2 2 2 2 2 2 1 1 1 3 1 3 3 1 3 3 1 3 1 1 1 1 1 3 3 1 1 1 1 1 1 3 1 1 2 3 1 3 3 1 3 3 1 3 2 1 3 1 1 3 1 1 1 3 1 1 3 1 1 1 1 1 3 2 1 1 1 1 3 1 3 1 1 1 1 2 3 1 3 1 3 3 2 1 3 1 1 1 3 1 1 1 1 1
"Fish7" 2 3 2 2 3 1 1 1 1 1 1 1 1 1 1 1 1 3 2 1 1 1 2 2 3 3 3 2 2 1 1 1 3 1 2 1 1 2 2 2 3 3 3 1 1 2 2 3 2 3 2 2 2 1 1 1 1 3 2 3 3 3 1 1 1 1 1 1 3 3 3 3 3 1 1 2 2 3 2 2 2 3 1 3 3 2 3 1 2 1 1 3 2 3 2 3 2 2 3 3
"Fish8" 3 2 3 2 2 3 1 3 1 2 2 2 2 2 2 2 2 2 2 2 2 2 3 1 3 3 1 3 3 3 1 1 1 3 1 1 1 3 1 1 1 1 1 1 3 3 1 3 2 2 3 3 1 1 3 1 3 3 1 1 3 1 3 1 1 1 3 3 3 2 3 3 1 1 1 3 3 1 2 2 2 2 3 3 1 3 3 3 1 1 2 2 1 2 2 3 3 3 3 3
"Fish9" 2 1 3 2 2 2 2 1 2 2 2 2 1 3 2 3 1 3 2 3 2 1 3 2 2 1 2 2 1 2 2 3 3 3 2 1 3 1 3 1 3 2 1 2 2 1 1 3 2 3 2 2 3 2 3 3 1 1 2 3 3 1 2 3 3 1 1 2 2 2 1 1 3 3 2 2 1 1 3 3 3 3 3 2 2 3 1 3 3 3 2 2 1 3 1 3 3 1 2 2
"Fish10" 3 1 2 2 2 2 3 1 3 3 1 3 1 1 3 1 3 2 2 2 2 2 1 3 1 1 3 1 3 1 1 1 3 1 3 1 2 3 2 3 3 1 1 3 1 3 1 1 3 1 1 1 3 3 1 1 3 1 1 1 1 1 1 2 2 1 1 3 1 3 3 3 1 3 1 2 1 3 1 3 1 3 1 3 1 2 1 1 1 3 1 3 1 1 3 1 3 1 1 1
