"Day1" "Day2" "Day3" "Day4" "Day5" "Day6" "Day7" "Day8" "Day9" "Day10" "Day11" "Day12" "Day13" "Day14" "Day15" "Day16" "Day17" "Day18" "Day19" "Day20" "Day21" "Day22" "Day23" "Day24" "Day25" "Day26" "Day27" "Day28" "Day29" "Day30" "Day31" "Day32" "Day33" "Day34" "Day35" "Day36" "Day37" "Day38" "Day39" "Day40" "Day41" "Day42" "Day43" "Day44" "Day45" "Day46" "Day47" "Day48" "Day49" "Day50" "Day51" "Day52" "Day53" "Day54" "Day55" "Day56" "Day57" "Day58" "Day59" "Day60" "Day61" "Day62" "Day63" "Day64" "Day65" "Day66" "Day67" "Day68" "Day69" "Day70" "Day71" "Day72" "Day73" "Day74" "Day75" "Day76" "Day77" "Day78" "Day79" "Day80" "Day81" "Day82" "Day83" "Day84" "Day85" "Day86" "Day87" "Day88" "Day89" "Day90" "Day91" "Day92" "Day93" "Day94" "Day95" "Day96" "Day97" "Day98" "Day99" "Day100"
"Fish1" 1 1 4 4 3 3 2 1 1 2 2 3 3 3 3 3 1 1 3 2 4 4 4 4 3 3 3 2 2 4 3 1 1 1 2 2 2 2 3 3 3 2 2 4 4 4 5 5 5 5 6 7 7 6 6 6 8 8 6 7 8 7 7 7 8 6 6 6 6 6 7 7 7 8 6 7 8 7 7 7 7 6 6 7 9 7 7 8 8 7 6 6 6 6 5 4 4 4 4 3
"Fish2" 1 4 4 4 5 7 8 7 7 9 9 8 8 8 6 5 6 7 7 7 7 7 7 7 7 6 7 7 7 8 8 9 9 10 10 10 10 9 9 8 8 6 6 5 4 5 4 3 2 4 6 7 7 7 6 6 6 6 5 5 5 5 5 7 9 8 7 7 7 6 6 6 6 6 6 5 4 4 4 5 5 5 5 5 4 3 2 1 4 6 6 6 7 8 6 8 6 6 5 5
"Fish3" 1 1 1 1 1 2 2 3 5 5 6 7 8 7 9 7 7 9 9 9 9 8 8 8 9 9 9 10 6 5 4 4 6 6 6 7 7 6 7 7 7 6 7 6 5 6 6 6 6 6 7 8 6 7 7 9 9 7 6 6 5 4 5 5 5 6 6 7 9 7 6 5 6 7 7 7 7 6 6 5 6 8 7 7 6 6 5 4 4 4 4 4 4 3 5 5 7 8 8 7
"Fish4" 1 2 2 2 4 4 3 3 1 4 3 3 3 3 5 6 8 9 7 7 7 6 5 5 5 5 5 5 5 5 5 5 6 6 8 8 8 6 6 6 6 6 6 7 7 7 8 7 6 6 7 7 7 7 6 8 6 5 7 7 6 6 8 8 7 8 9 8 8 7 8 6 5 4 4 4 4 5 4 3 2 1 1 1 1 2 2 1 3 3 1 1 1 3 5 5 5 6 6 6
"Fish5" 1 1 2 2 2 1 1 1 4 3 5 5 7 7 8 8 8 9 8 7 7 8 6 6 6 6 6 6 7 7 7 6 5 5 6 6 5 5 5 4 4 5 5 4 4 4 3 1 3 3 3 3 3 2 1 1 1 2 2 2 1 1 1 1 2 2 1 1 4 4 5 5 6 6 6 5 5 6 6 5 5 6 5 7 6 7 7 8 6 6 7 7 8 8 8 8 8 8 6 6
"Fish6" 1 3 3 3 2 3 3 3 5 7 7 7 9 9 7 7 7 8 8 6 8 6 6 5 5 6 7 6 6 6 8 8 8 6 7 7 8 8 8 8 9 8 7 8 7 9 9 8 8 8 7 6 8 6 5 7 7 7 9 9 9 9 9 9 8 8 9 9 8 8 8 8 9 9 8 7 7 9 9 7 8 8 8 8 6 5 4 4 4 3 4 6 7 6 6 6 7 7 7 6
"Fish7" 1 2 2 2 2 2 4 6 7 7 8 8 8 6 6 5 6 6 5 5 4 4 5 5 5 5 5 7 7 7 7 7 7 8 8 8 8 8 8 8 7 9 9 7 7 7 7 7 8 7 7 7 9 9 9 9 9 9 8 6 6 6 7 7 7 7 7 7 7 8 8 9 8 8 8 8 6 6 8 7 7 6 6 6 6 6 8 6 5 5 7 8 8 8 8 6 6 7 7 8
"Fish8" 1 2 2 1 2 3 3 3 3 4 4 6 8 9 7 7 8 8 8 8 6 6 6 6 6 6 6 6 5 7 6 7 8 8 8 7 6 8 6 6 6 6 6 6 7 8 9 9 10 6 6 6 6 8 7 6 6 5 4 4 3 2 2 2 1 3 3 2 2 2 4 4 3 3 3 5 7 7 6 5 6 8 8 9 8 9 7 7 6 7 7 7 7 9 9 9 9 8 8 6
"Fish9" 1 1 4 6 5 5 4 4 4 3 2 4 4 4 4 4 5 5 5 7 6 6 6 8 8 6 7 7 6 8 8 7 8 8 6 6 7 8 6 6 6 5 6 8 7 6 6 6 6 6 6 5 7 8 7 7 6 6 6 5 6 7 8 6 6 6 5 6 7 8 8 8 8 7 7 6 6 6 6 6 5 4 4 4 4 4 4 6 6 6 5 5 6 6 6 6 6 6 7 7
"Fish10" 1 1 2 2 2 1 1 1 1 1 2 4 3 2 1 1 4 4 3 5 5 7 6 6 6 7 7 8 8 7 7 7 7 8 8 6 6 6 6 7 7 7 6 8 6 5 5 5 5 5 7 9 7 7 8 9 8 6 7 6 6 6 6 7 8 8 8 6 5 6 6 6 8 8 9 10 10 10 10 10 10 6 8 9 8 6 5 5 7 7 7 7 7 7 8 8 6 6 8 9
